employee_id,date,clock_in_time,clock_out_time,remote_flag,work_location,notes
1,2025-04-04,2025-04-04 09:21:00,2025-04-04 17:03:00,False,Chicago,
1,2025-06-12,2025-06-12 09:17:00,2025-06-12 17:05:00,False,Remote,
1,2025-06-05,2025-06-05 09:23:00,2025-06-05 17:22:00,False,Seattle,
1,2025-03-31,2025-03-31 09:01:00,2025-03-31 17:22:00,False,Remote,
1,2025-03-20,2025-03-20 09:27:00,2025-03-20 17:13:00,False,NYC,
1,2025-06-13,2025-06-13 09:29:00,2025-06-13 17:04:00,True,Remote,WFH
1,2025-05-12,2025-05-12 09:05:00,2025-05-12 17:09:00,False,Seattle,
1,2025-04-18,2025-04-18 09:13:00,2025-04-18 17:23:00,True,Remote,WFH
1,2025-06-16,2025-06-16 09:11:00,2025-06-16 17:15:00,False,Remote,
1,2025-05-08,2025-05-08 09:29:00,2025-05-08 17:22:00,True,Remote,WFH
2,2022-01-27,2022-01-27 09:00:00,2022-01-27 17:22:00,False,NYC,
2,2022-04-15,2022-04-15 09:09:00,2022-04-15 17:24:00,False,Atlanta,
2,2022-03-07,2022-03-07 09:09:00,2022-03-07 17:20:00,True,Remote,WFH
2,2022-03-07,2022-03-07 09:01:00,2022-03-07 17:08:00,True,Remote,WFH
2,2022-02-01,2022-02-01 09:12:00,2022-02-01 17:24:00,False,NYC,
2,2022-02-28,2022-02-28 09:17:00,2022-02-28 17:18:00,True,Remote,WFH
2,2022-03-28,2022-03-28 09:07:00,2022-03-28 17:16:00,True,Remote,WFH
2,2022-01-25,2022-01-25 09:09:00,2022-01-25 17:14:00,False,Remote,
3,2021-10-04,2021-10-04 09:22:00,2021-10-04 17:06:00,False,Austin,
3,2021-07-30,2021-07-30 09:16:00,2021-07-30 17:08:00,False,Chicago,
3,2021-08-26,2021-08-26 09:19:00,2021-08-26 17:25:00,True,Remote,WFH
3,2021-10-18,2021-10-18 09:20:00,2021-10-18 17:17:00,True,Remote,WFH
3,2021-10-04,2021-10-04 09:15:00,2021-10-04 17:08:00,False,NYC,
3,2021-09-20,2021-09-20 09:11:00,2021-09-20 17:11:00,False,Chicago,
3,2021-08-24,2021-08-24 09:18:00,2021-08-24 17:27:00,True,Remote,WFH
3,2021-09-27,2021-09-27 09:24:00,2021-09-27 17:02:00,False,Atlanta,
3,2021-09-03,2021-09-03 09:17:00,2021-09-03 17:15:00,False,Atlanta,
4,2022-10-03,2022-10-03 09:06:00,2022-10-03 17:03:00,False,Atlanta,
